,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
180,380,사하구,630,감천2동,아미배수지,배수지,7.45,0.22,0.44,331.66,30.25,정상
181,380,사하구,620,감천1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
182,380,사하구,620,감천1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
183,380,사하구,620,감천1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
184,380,사하구,620,감천1동,감천배수지,배수지,7.03,0.08,0.38,255.50,29.07,정상
185,380,사하구,620,감천1동,감천1동,블록,6.82,0.10,0.31,-,-,정상
186,380,사하구,610,구평동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
187,380,사하구,610,구평동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
188,380,사하구,602,다대2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
189,380,사하구,602,다대2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
190,380,사하구,601,다대1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
191,380,사하구,601,다대1동,다대가압장,가압장,6.96,0.08,0.43,-,-,정상
192,380,사하구,601,다대1동,다대1동,블록,7.27,0.08,0.20,254.55,28.60,정상
193,380,사하구,590,장림2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
194,380,사하구,590,장림2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
195,380,사하구,580,장림1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
196,380,사하구,572,신평2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
197,380,사하구,572,신평2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
198,380,사하구,572,신평2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
199,380,사하구,572,신평2동,아미배수지,배수지,7.45,0.22,0.44,331.66,30.25,정상
200,380,사하구,572,신평2동,신평2동,블록,7.19,0.08,0.50,255.94,28.58,정상
201,380,사하구,571,신평1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
202,380,사하구,571,신평1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
204,380,사하구,562,하단2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
205,380,사하구,562,하단2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
206,380,사하구,562,하단2동,하단2동,블록,7.43,0.07,0.43,-,-,정상
207,380,사하구,561,하단1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
208,380,사하구,561,하단1동,하단1동,블록,7.43,0.07,0.43,-,-,정상
209,380,사하구,550,당리동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
210,380,사하구,550,당리동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
211,380,사하구,550,당리동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
212,380,사하구,540,괴정4동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
213,380,사하구,540,괴정4동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
214,380,사하구,530,괴정3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
215,380,사하구,530,괴정3동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
216,380,사하구,530,괴정3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
217,380,사하구,530,괴정3동,대티2배수지,배수지,7.23,0.16,0.48,275.95,28.47,정상
218,380,사하구,520,괴정2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
219,380,사하구,520,괴정2동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
220,380,사하구,520,괴정2동,대티2배수지,배수지,7.23,0.16,0.48,275.95,28.47,정상
221,380,사하구,520,괴정2동,괴정2동,블록,7.17,0.08,0.29,271.70,29.30,정상
222,380,사하구,510,괴정1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
223,380,사하구,510,괴정1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
225,350,해운대구,660,재송2동,반여배수지,배수지,7.53,0.10,0.07,281.03,24.41,정상
226,350,해운대구,660,재송2동,재송2동,블록,7.06,0.05,0.27,182.20,26.65,정상
228,350,해운대구,650,재송1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
231,350,해운대구,630,반송3동,반송배수지,배수지,7.16,0.04,0.27,-,-,정상
234,350,해운대구,610,반송1동,반송배수지,배수지,7.16,0.04,0.27,-,-,정상
235,350,해운대구,610,반송1동,반송1동,블록,7.02,0.10,0.31,-,-,정상
237,350,해운대구,595,반여4동,명장배수지,배수지,7.60,0.04,0.49,243.20,26.70,정상
240,350,해운대구,580,반여2동,반여배수지,배수지,7.53,0.10,0.07,281.03,24.41,정상
241,350,해운대구,580,반여2동,반여2동,블록,7.06,0.05,0.27,182.20,26.65,정상
243,350,해운대구,570,반여1동,반여1동,블록,6.97,0.06,0.55,143.25,26.10,정상
244,350,해운대구,560,송정동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
