,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
701,140,서구,520,동대신2동,동대신2동,블록,7.14,0.36,0.60,-,-,정상
702,140,서구,510,동대신1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
703,140,서구,510,동대신1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
704,140,서구,510,동대신1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
705,140,서구,510,동대신1동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
706,110,중구,600,영주2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
707,110,중구,600,영주2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
708,110,중구,600,영주2동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
709,110,중구,590,영주1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
710,110,중구,590,영주1동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
711,110,중구,590,영주1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
712,110,중구,590,영주1동,복병산배수지,배수지,6.81,0.07,0.34,296.93,30.65,정상
713,110,중구,590,영주1동,개금1배수지,배수지,7.25,0.11,0.49,268.12,30.65,정상
714,110,중구,590,영주1동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
715,110,중구,580,남포동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
716,110,중구,580,남포동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
717,110,중구,580,남포동,복병산배수지,배수지,6.81,0.07,0.34,296.93,30.65,정상
718,110,중구,570,광복동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
719,110,중구,570,광복동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
720,110,중구,570,광복동,복병산배수지,배수지,6.81,0.07,0.34,296.93,30.65,정상
721,110,중구,570,광복동,광복동,블록,6.96,0.11,0.44,-,-,정상
722,110,중구,560,부평동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
723,110,중구,560,부평동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
724,110,중구,560,부평동,복병산배수지,배수지,6.81,0.07,0.34,296.93,30.65,정상
725,110,중구,545,보수동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
726,110,중구,545,보수동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
727,110,중구,545,보수동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
728,110,중구,545,보수동,복병산배수지,배수지,6.81,0.07,0.34,296.93,30.65,정상
729,110,중구,545,보수동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
730,110,중구,530,대청동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
731,110,중구,530,대청동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
732,110,중구,530,대청동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
733,110,중구,530,대청동,복병산배수지,배수지,6.81,0.07,0.34,296.93,30.65,정상
734,110,중구,530,대청동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
735,110,중구,530,대청동,대청동,블록,7.28,0.11,0.48,370.00,29.60,정상
736,110,중구,520,동광동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
737,110,중구,520,동광동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
738,110,중구,520,동광동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
739,110,중구,520,동광동,복병산배수지,배수지,6.81,0.07,0.34,296.93,30.65,정상
740,110,중구,520,동광동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
741,110,중구,510,중앙동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
742,110,중구,510,중앙동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
743,110,중구,510,중앙동,복병산배수지,배수지,6.81,0.07,0.34,296.93,30.65,정상
744,110,중구,510,중앙동,영주배수지,배수지,7.26,0.08,0.34,223.60,28.86,정상
