,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
145,410,금정구,665,청룡노포동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
146,410,금정구,665,청룡노포동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
147,410,금정구,665,청룡노포동,남산배수지,배수지,7.42,0.08,0.03,212.90,28.92,정상
148,410,금정구,635,선두구동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
149,410,금정구,635,선두구동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
150,410,금정구,620,장전3동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
151,410,금정구,620,장전3동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
152,410,금정구,620,장전3동,장전3동,블록,6.94,0.14,0.15,294.65,27.78,정상
153,410,금정구,610,장전2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
154,410,금정구,610,장전2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
155,410,금정구,600,장전1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
156,410,금정구,600,장전1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
157,410,금정구,600,장전1동,장전1동,블록,6.94,0.14,0.15,294.65,27.78,정상
158,410,금정구,591,부곡4동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
159,410,금정구,591,부곡4동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
160,410,금정구,591,부곡4동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
161,410,금정구,591,부곡4동,서동배수지,배수지,7.02,0.07,0.30,-,-,정상
162,410,금정구,590,부곡3동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
163,410,금정구,590,부곡3동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
164,410,금정구,580,부곡2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
165,410,금정구,580,부곡2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
166,410,금정구,570,부곡1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
167,410,금정구,570,부곡1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
168,410,금정구,550,금사동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
169,410,금정구,550,금사동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
170,410,금정구,550,금사동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
171,410,금정구,550,금사동,남산배수지,배수지,7.42,0.08,0.03,212.90,28.92,정상
172,410,금정구,530,서3동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
173,410,금정구,520,서2동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
174,410,금정구,520,서2동,서동배수지,배수지,7.02,0.07,0.30,-,-,정상
175,410,금정구,510,서1동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
176,410,금정구,510,서1동,서동배수지,배수지,7.02,0.07,0.30,-,-,정상
177,380,사하구,630,감천2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
178,380,사하구,630,감천2동,사상가압장(기설),가압장,7.11,0.08,0.74,291.15,27.15,정상
179,380,사하구,630,감천2동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
180,380,사하구,630,감천2동,아미배수지,배수지,7.44,0.15,0.45,337.61,29.76,정상
181,380,사하구,620,감천1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
182,380,사하구,620,감천1동,사상가압장(기설),가압장,7.11,0.08,0.74,291.15,27.15,정상
183,380,사하구,620,감천1동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
184,380,사하구,620,감천1동,감천배수지,배수지,7.03,0.08,0.28,299.00,28.96,정상
185,380,사하구,620,감천1동,감천1동,블록,6.82,0.11,0.23,-,-,정상
186,380,사하구,610,구평동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
187,380,사하구,610,구평동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
188,380,사하구,602,다대2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
189,380,사하구,602,다대2동,사상가압장(기설),가압장,7.11,0.08,0.74,291.15,27.15,정상
190,380,사하구,601,다대1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
191,380,사하구,601,다대1동,다대가압장,가압장,6.98,0.08,0.36,-,-,정상
192,380,사하구,601,다대1동,다대1동,블록,7.28,0.07,0.19,261.46,28.43,정상
193,380,사하구,590,장림2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
194,380,사하구,590,장림2동,사상가압장(기설),가압장,7.11,0.08,0.74,291.15,27.15,정상
195,380,사하구,580,장림1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
196,380,사하구,572,신평2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
197,380,사하구,572,신평2동,사상가압장(기설),가압장,7.11,0.08,0.74,291.15,27.15,정상
198,380,사하구,572,신평2동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
199,380,사하구,572,신평2동,아미배수지,배수지,7.44,0.15,0.45,337.61,29.76,정상
200,380,사하구,572,신평2동,신평2동,블록,7.19,0.09,0.47,206.58,28.30,정상
201,380,사하구,571,신평1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
202,380,사하구,571,신평1동,사상가압장(기설),가압장,7.11,0.08,0.74,291.15,27.15,정상
203,380,사하구,571,신평1동,신평배수지,배수지,7.67,점검중,점검중,-,-,점검중
204,380,사하구,562,하단2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
205,380,사하구,562,하단2동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
206,380,사하구,562,하단2동,하단2동,블록,7.35,0.08,0.35,-,-,정상
207,380,사하구,561,하단1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
208,380,사하구,561,하단1동,하단1동,블록,7.35,0.08,0.35,-,-,정상
209,380,사하구,550,당리동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
210,380,사하구,550,당리동,사상가압장(기설),가압장,7.11,0.08,0.74,291.15,27.15,정상
211,380,사하구,550,당리동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
212,380,사하구,540,괴정4동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
213,380,사하구,540,괴정4동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
214,380,사하구,530,괴정3동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
215,380,사하구,530,괴정3동,사상가압장(기설),가압장,7.11,0.08,0.74,291.15,27.15,정상
216,380,사하구,530,괴정3동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
217,380,사하구,530,괴정3동,대티2배수지,배수지,7.19,0.19,0.51,279.77,28.19,정상
218,380,사하구,520,괴정2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
219,380,사하구,520,괴정2동,사상가압장(기설),가압장,7.11,0.08,0.74,291.15,27.15,정상
220,380,사하구,520,괴정2동,대티2배수지,배수지,7.19,0.19,0.51,279.77,28.19,정상
221,380,사하구,520,괴정2동,괴정2동,블록,7.15,0.08,0.33,284.32,29.00,정상
222,380,사하구,510,괴정1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
223,380,사하구,510,괴정1동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
224,350,해운대구,660,재송2동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
225,350,해운대구,660,재송2동,반여배수지,배수지,7.54,0.11,0.06,282.57,24.34,정상
226,350,해운대구,660,재송2동,재송2동,블록,7.13,0.06,0.32,145.80,26.49,정상
227,350,해운대구,650,재송1동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
228,350,해운대구,650,재송1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
229,350,해운대구,650,재송1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
230,350,해운대구,630,반송3동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
231,350,해운대구,630,반송3동,반송배수지,배수지,7.17,0.05,0.26,-,-,정상
232,350,해운대구,620,반송2동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
233,350,해운대구,610,반송1동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
234,350,해운대구,610,반송1동,반송배수지,배수지,7.17,0.05,0.26,-,-,정상
235,350,해운대구,610,반송1동,반송1동,블록,7.04,0.12,0.29,-,-,정상
236,350,해운대구,595,반여4동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
237,350,해운대구,595,반여4동,명장배수지,배수지,7.60,0.04,0.46,245.10,26.60,정상
238,350,해운대구,590,반여3동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
239,350,해운대구,580,반여2동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
240,350,해운대구,580,반여2동,반여배수지,배수지,7.54,0.11,0.06,282.57,24.34,정상
241,350,해운대구,580,반여2동,반여2동,블록,7.13,0.06,0.32,145.80,26.49,정상
242,350,해운대구,570,반여1동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
243,350,해운대구,570,반여1동,반여1동,블록,6.96,0.04,0.50,159.55,25.94,정상
244,350,해운대구,560,송정동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
245,350,해운대구,560,송정동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
246,350,해운대구,560,송정동,좌동2배수지,배수지,7.15,0.11,0.31,252.40,29.15,정상
247,350,해운대구,554,좌4동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
248,350,해운대구,554,좌4동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
249,350,해운대구,553,좌3동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
250,350,해운대구,553,좌3동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
251,350,해운대구,553,좌3동,좌동2배수지,배수지,7.15,0.11,0.31,252.40,29.15,정상
