,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck,siguCd,dongCd
728,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,545
729,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,110,545
730,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,530
731,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,110,530
732,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,110,530
733,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,530
734,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,110,530
735,대청동,블록,7.28,0.12,0.58,370.00,29.60,정상,110,530
736,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,520
737,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,110,520
738,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,110,520
739,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,520
740,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,110,520
741,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,110,510
742,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,110,510
743,복병산배수지,배수지,6.81,0.08,0.40,293.32,30.55,정상,110,510
744,영주배수지,배수지,7.26,0.09,0.37,241.18,28.77,정상,110,510
