,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck,siguCd,dongCd
137,남산배수지,배수지,7.47,0.08,점검중,213.70,29.65,점검중,410,690
138,구서2동,블록,6.37,0.10,0.11,312.90,28.83,정상,410,690
139,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,680
140,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,680
141,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,670
142,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,670
143,남산배수지,배수지,7.47,0.08,점검중,213.70,29.65,점검중,410,670
144,남산동,블록,6.37,0.10,0.11,312.90,28.83,정상,410,670
145,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,665
146,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,665
147,남산배수지,배수지,7.47,0.08,점검중,213.70,29.65,점검중,410,665
148,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,635
149,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,635
150,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,620
151,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,620
152,장전3동,블록,7.00,0.15,0.13,294.18,27.27,정상,410,620
153,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,610
154,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,610
155,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,600
156,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,600
157,장전1동,블록,7.00,0.15,0.13,294.18,27.27,정상,410,600
158,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,410,591
159,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,591
160,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,591
161,서동배수지,배수지,7.02,0.07,0.31,-,-,정상,410,591
162,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,590
163,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,590
164,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,580
165,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,580
166,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,570
167,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,570
168,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,410,550
169,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,410,550
170,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,410,550
171,남산배수지,배수지,7.47,0.08,점검중,213.70,29.65,점검중,410,550
172,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,410,530
173,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,410,520
174,서동배수지,배수지,7.02,0.07,0.31,-,-,정상,410,520
175,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,410,510
176,서동배수지,배수지,7.02,0.07,0.31,-,-,정상,410,510
177,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,630
178,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,380,630
179,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,380,630
180,아미배수지,배수지,7.45,0.15,0.44,337.30,29.79,정상,380,630
181,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,620
182,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,380,620
183,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,380,620
184,감천배수지,배수지,7.07,0.08,0.28,295.75,29.10,정상,380,620
185,감천1동,블록,6.85,0.11,0.24,-,-,정상,380,620
186,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,610
187,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,380,610
188,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,602
189,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,380,602
190,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,601
191,다대가압장,가압장,6.96,0.08,0.37,-,-,정상,380,601
192,다대1동,블록,7.28,0.08,0.20,260.48,28.50,정상,380,601
193,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,590
194,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,380,590
195,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,580
196,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,572
197,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,380,572
198,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,380,572
199,아미배수지,배수지,7.45,0.15,0.44,337.30,29.79,정상,380,572
200,신평2동,블록,7.19,0.09,0.49,200.47,28.40,정상,380,572
201,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,571
202,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,380,571
203,신평배수지,배수지,7.67,점검중,점검중,-,-,점검중,380,571
204,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,562
205,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,380,562
206,하단2동,블록,7.35,0.08,0.45,-,-,정상,380,562
207,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,561
208,하단1동,블록,7.35,0.08,0.45,-,-,정상,380,561
209,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,550
210,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,380,550
211,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,380,550
212,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,540
213,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,380,540
214,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,530
215,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,380,530
216,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,380,530
217,대티2배수지,배수지,7.19,0.20,0.49,278.61,28.22,정상,380,530
218,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,520
219,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,380,520
220,대티2배수지,배수지,7.19,0.20,0.49,278.61,28.22,정상,380,520
221,괴정2동,블록,7.14,0.08,0.31,283.50,29.00,정상,380,520
222,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,380,510
223,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,380,510
224,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,350,660
225,반여배수지,배수지,7.54,0.11,0.06,282.58,24.31,정상,350,660
226,재송2동,블록,7.10,0.05,0.35,162.08,26.48,정상,350,660
227,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,350,650
228,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,350,650
229,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,350,650
230,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,350,630
231,반송배수지,배수지,7.17,0.05,0.25,-,-,정상,350,630
232,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,350,620
233,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,350,610
234,반송배수지,배수지,7.17,0.05,0.25,-,-,정상,350,610
235,반송1동,블록,7.03,0.12,0.28,-,-,정상,350,610
236,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,350,595
237,명장배수지,배수지,7.63,0.04,0.44,245.00,26.60,정상,350,595
238,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,350,590
239,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,350,580
240,반여배수지,배수지,7.54,0.11,0.06,282.58,24.31,정상,350,580
241,반여2동,블록,7.10,0.05,0.35,162.08,26.48,정상,350,580
242,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,350,570
243,반여1동,블록,6.97,0.04,0.49,152.23,25.90,정상,350,570
244,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,350,560
245,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,350,560
246,좌동2배수지,배수지,7.15,0.10,0.30,249.66,29.10,정상,350,560
247,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,350,554
248,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,350,554
249,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,350,553
250,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,350,553
251,좌동2배수지,배수지,7.15,0.10,0.30,249.66,29.10,정상,350,553
252,좌3동,블록,7.19,0.14,0.25,214.47,30.50,정상,350,553
253,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,350,552
254,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,350,552
255,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,350,551
256,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,350,551
257,좌1동,블록,7.08,0.15,0.23,195.16,29.51,정상,350,551
258,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,350,540
259,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,350,540
260,중동배수지,배수지,7.29,점검중,0.18,334.94,29.01,정상,350,540
261,중2동,블록,7.08,0.17,0.29,284.59,29.96,정상,350,540
262,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,350,530
263,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,350,530
264,중1동,블록,6.79,0.15,0.37,-,-,정상,350,530
265,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,350,520
266,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,350,520
267,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,350,510
268,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,350,510
269,우1동,블록,6.79,0.15,0.37,-,-,정상,350,510
270,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,573
271,만덕1배수지,배수지,7.75,0.13,0.37,288.48,27.85,정상,320,573
272,만덕3동,블록,7.24,0.11,0.38,249.86,28.80,정상,320,573
273,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,320,572
274,만덕2배수지,배수지,7.23,0.11,0.36,233.48,26.80,정상,320,572
275,만덕5배수지,배수지,6.97,0.11,0.07,-,-,정상,320,572
276,만덕2동,블록,7.34,0.14,0.63,243.70,28.30,정상,320,572
277,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,572
278,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,571
279,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,320,571
280,만덕1배수지,배수지,7.75,0.13,0.37,288.48,27.85,정상,320,571
281,만덕2배수지,배수지,7.23,0.11,0.36,233.48,26.80,정상,320,571
282,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,561
283,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,320,560
284,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,560
285,만덕1배수지,배수지,7.75,0.13,0.37,288.48,27.85,정상,320,560
286,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,320,550
287,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,550
288,만덕1배수지,배수지,7.75,0.13,0.37,288.48,27.85,정상,320,550
289,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,543
290,금곡배수지,배수지,7.75,0.13,0.38,241.62,27.60,정상,320,543
291,화명3동,블록,7.38,0.13,0.40,205.04,28.90,정상,320,543
292,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,542
293,금곡배수지,배수지,7.75,0.13,0.38,241.62,27.60,정상,320,542
294,화명2동,블록,7.38,0.13,0.40,205.04,28.90,정상,320,542
295,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,541
296,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,530
297,금곡배수지,배수지,7.75,0.13,0.38,241.62,27.60,정상,320,530
298,금곡동,블록,7.38,0.13,0.40,205.04,28.90,정상,320,530
299,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,521
300,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,320,521
301,구포가압장,가압장,7.09,0.09,0.25,-,-,정상,320,521
302,구포2배수지,배수지,7.09,0.09,0.25,-,-,정상,320,521
303,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,320,520
304,구포2동,블록,7.12,0.13,0.49,231.54,28.85,정상,320,520
305,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,320,510
306,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,710
307,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,710
308,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,290,700
309,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,290,700
310,전포2배수지,배수지,7.14,점검중,0.46,286.61,28.10,점검중,290,700
311,문현배수지,배수지,7.07,0.07,0.21,295.94,30.33,정상,290,700
312,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,290,690
313,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,290,690
314,전포2배수지,배수지,7.14,점검중,0.46,286.61,28.10,점검중,290,690
315,문현배수지,배수지,7.07,0.07,0.21,295.94,30.33,정상,290,690
316,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,290,680
317,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,290,680
318,전포2배수지,배수지,7.14,점검중,0.46,286.61,28.10,점검중,290,680
319,문현배수지,배수지,7.07,0.07,0.21,295.94,30.33,정상,290,680
320,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,650
321,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,650
322,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,645
323,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,645
324,감만배수지,배수지,7.28,0.18,0.26,-,-,정상,290,645
325,우암동,블록,7.26,0.09,0.15,289.87,29.40,정상,290,645
326,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,640
327,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,640
328,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,630
329,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,630
330,감만배수지,배수지,7.28,0.18,0.26,-,-,정상,290,630
331,감만2동,블록,7.36,0.10,0.27,289.87,29.40,정상,290,630
332,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,620
333,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,620
334,감만배수지,배수지,7.28,0.18,0.26,-,-,정상,290,620
335,감만1동,블록,7.36,0.10,0.27,-,-,정상,290,620
336,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,610
337,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,610
338,감만배수지,배수지,7.28,0.18,0.26,-,-,정상,290,610
339,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,600
340,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,600
341,용호2배수지,배수지,7.01,0.12,0.29,-,-,정상,290,600
342,용호4동,블록,7.34,0.10,0.21,279.51,29.50,정상,290,600
343,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,590
344,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,590
345,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,580
346,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,580
347,용호2배수지,배수지,7.01,0.12,0.29,-,-,정상,290,580
348,용호2동,블록,7.34,0.10,0.21,279.51,29.50,정상,290,580
349,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,570
350,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,570
351,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,290,560
352,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,560
353,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,560
354,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,290,560
355,전포2배수지,배수지,7.14,점검중,0.46,286.61,28.10,점검중,290,560
356,문현배수지,배수지,7.07,0.07,0.21,295.94,30.33,정상,290,560
357,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,290,550
358,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,550
359,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,550
360,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,290,550
361,전포2배수지,배수지,7.14,점검중,0.46,286.61,28.10,점검중,290,550
362,문현배수지,배수지,7.07,0.07,0.21,295.94,30.33,정상,290,550
363,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,290,540
364,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,290,540
365,감만배수지,배수지,7.28,0.18,0.26,-,-,정상,290,540
366,대연4동,블록,7.26,0.09,0.15,289.87,29.40,정상,290,540
